BATSMAN ,BOWLER ,RUNS
SR Watson ,Harbhajan Singh ,41
CH Gayle ,R Sharma ,41
SE Marsh ,Z Khan ,41
F du Plessis ,PV Tambe ,41
BJ Hodge ,SL Malinga ,41
BB McCullum ,TA Boult ,41
DR Smith ,BW Hilfenhaus ,41
HM Amla ,Basil Thampi ,41
RG Sharma ,SK Raina ,41
KA Pollard ,P Negi ,41
RG Sharma ,MC Henriques ,41
BB McCullum ,P Kumar ,41
RG Sharma ,Yuvraj Singh ,41
SV Samson ,M Kartik ,41
DJ Hussey ,PP Ojha ,41
Yuvraj Singh ,R Bhatia ,41
KA Pollard ,R Vinay Kumar ,41
DR Smith ,Ankit Sharma ,41
TM Dilshan ,Harbhajan Singh ,41
MEK Hussey ,SL Malinga ,41
BB McCullum ,Imran Tahir ,41
DR Smith ,P Kumar ,41
SR Watson ,UT Yadav ,41
JP Duminy ,Yuvraj Singh ,41
SR Watson ,DS Kulkarni ,41
RV Uthappa ,PP Chawla ,41
SK Raina ,CR Woakes ,41
V Sehwag ,SL Malinga ,41
SC Ganguly ,P Kumar ,41
MS Dhoni ,AB Dinda ,41
KH Pandya ,Imran Tahir ,41
SR Watson ,JA Morkel ,41
KK Nair ,JD Unadkat ,41
MK Pandey ,MM Patel ,41
Q de Kock ,S Aravind ,40
SC Ganguly ,SK Trivedi ,40
RG Sharma ,NLTC Perera ,40
AC Gilchrist ,MM Patel ,40
AB de Villiers ,MS Gony ,40
JH Kallis ,M Morkel ,40
AT Rayudu ,P Kumar ,40
M Vijay ,PJ Sangwan ,40
DA Warner ,M Morkel ,40
Yuvraj Singh ,SL Malinga ,40
JD Ryder ,UT Yadav ,40
DR Smith ,R Ashwin ,40
BB McCullum ,MG Johnson ,40
AT Rayudu ,SR Watson ,40
SS Tiwary ,R Sharma ,40
YK Pathan ,Yuvraj Singh ,40
AB de Villiers ,MM Sharma ,40
SE Marsh ,M Morkel ,40
CH Morris ,DJ Bravo ,40
Yuvraj Singh ,M Muralitharan ,40
